epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2350.07,1.15227,0.97368,1.20446,0.84423,0.78697,0.85385,0.51352,1.28578,0.97443,1.21492,0.005743,0.005743,0.005743
45,2403.59,1.15796,0.97798,1.20898,0.83702,0.79409,0.85657,0.5242,1.30382,0.97415,1.18962,0.005644,0.005644,0.005644
46,2456.93,1.14027,0.96343,1.2009,0.84435,0.77879,0.85637,0.51701,1.26732,0.98602,1.20312,0.005545,0.005545,0.005545
47,2510.22,1.13123,0.94782,1.19051,0.83634,0.7881,0.85315,0.51913,1.29167,0.9791,1.2096,0.005446,0.005446,0.005446
48,2563.76,1.1388,0.95101,1.19548,0.83823,0.78637,0.85523,0.51817,1.28303,0.96166,1.18803,0.005347,0.005347,0.005347
49,2617.33,1.13535,0.94732,1.19192,0.83942,0.79491,0.85617,0.52634,1.26413,0.95402,1.19212,0.005248,0.005248,0.005248
50,2670.87,1.1278,0.94934,1.19241,0.83823,0.79245,0.85346,0.53118,1.25585,0.97184,1.17374,0.005149,0.005149,0.005149
51,2724.52,1.12751,0.93954,1.18744,0.85022,0.78589,0.86482,0.53043,1.27956,0.93982,1.18548,0.00505,0.00505,0.00505
52,2778.21,1.11844,0.94244,1.18362,0.86196,0.78507,0.8648,0.52954,1.27654,0.92335,1.1922,0.004951,0.004951,0.004951
53,2831.78,1.10634,0.92632,1.17526,0.8352,0.80237,0.86892,0.53847,1.25275,0.92971,1.17352,0.004852,0.004852,0.004852
54,2885.92,1.10673,0.92516,1.17723,0.86616,0.79634,0.86842,0.54424,1.23263,0.92937,1.163,0.004753,0.004753,0.004753
55,2939.94,1.09545,0.91179,1.174,0.85621,0.78155,0.86543,0.53642,1.25145,0.92963,1.1881,0.004654,0.004654,0.004654
56,2993.95,1.09753,0.90869,1.17098,0.85252,0.79163,0.86489,0.53454,1.23114,0.91351,1.15923,0.004555,0.004555,0.004555
57,3048.18,1.09585,0.90823,1.17217,0.83761,0.81242,0.87529,0.54265,1.24193,0.90003,1.16784,0.004456,0.004456,0.004456
58,3102.24,1.09315,0.89319,1.16387,0.83257,0.81588,0.86578,0.53651,1.24216,0.91221,1.15149,0.004357,0.004357,0.004357
59,3156.42,1.08258,0.89847,1.1635,0.86375,0.81646,0.87494,0.54647,1.23017,0.90007,1.16054,0.004258,0.004258,0.004258
60,3211.03,1.07996,0.89928,1.16165,0.85365,0.8023,0.87069,0.54081,1.23974,0.89276,1.16213,0.004159,0.004159,0.004159
61,3265.17,1.07759,0.88888,1.15922,0.84894,0.79759,0.86868,0.53441,1.25989,0.9035,1.17026,0.00406,0.00406,0.00406
62,3319.44,1.07226,0.88852,1.15507,0.83076,0.82609,0.86902,0.54639,1.22355,0.88525,1.15752,0.003961,0.003961,0.003961
63,3373.67,1.07068,0.88317,1.15177,0.84855,0.80558,0.86601,0.54142,1.2357,0.88557,1.16951,0.003862,0.003862,0.003862
64,3427.82,1.07238,0.87783,1.15182,0.85863,0.79222,0.86915,0.53989,1.23431,0.89768,1.15734,0.003763,0.003763,0.003763
65,3482.21,1.06516,0.86378,1.14817,0.85832,0.79327,0.86351,0.54033,1.22928,0.90272,1.15629,0.003664,0.003664,0.003664
66,3536.46,1.05643,0.87494,1.14871,0.85863,0.7982,0.86828,0.54248,1.22389,0.88896,1.15241,0.003565,0.003565,0.003565
67,3590.76,1.05053,0.8652,1.14576,0.8399,0.81214,0.86775,0.54083,1.23594,0.8721,1.15803,0.003466,0.003466,0.003466
68,3645.21,1.04209,0.84871,1.13314,0.84977,0.8023,0.8646,0.54323,1.23125,0.88441,1.16524,0.003367,0.003367,0.003367
69,3699.4,1.04645,0.86058,1.14185,0.84771,0.80312,0.86264,0.54019,1.23666,0.89913,1.16545,0.003268,0.003268,0.003268
70,3753.79,1.03541,0.83878,1.13338,0.84786,0.80917,0.86435,0.54443,1.22063,0.87397,1.1583,0.003169,0.003169,0.003169
71,3808.11,1.03253,0.83954,1.12866,0.82992,0.80457,0.86557,0.54206,1.23109,0.88633,1.15803,0.00307,0.00307,0.00307
72,3862.27,1.03589,0.83987,1.13549,0.86494,0.79331,0.86707,0.53669,1.2273,0.87363,1.16795,0.002971,0.002971,0.002971
73,3916.35,1.03319,0.85184,1.13969,0.84622,0.80394,0.86482,0.54028,1.22287,0.88221,1.16002,0.002872,0.002872,0.002872
74,3970.73,1.0243,0.83023,1.13002,0.86056,0.79994,0.86837,0.54276,1.23097,0.88409,1.16342,0.002773,0.002773,0.002773
75,4024.94,1.01877,0.82382,1.12494,0.85848,0.79902,0.86794,0.54485,1.22147,0.87634,1.16203,0.002674,0.002674,0.002674
