epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1202.7,1.16747,0.72844,1.14888,0.8272,0.78964,0.86606,0.49487,1.51416,0.91748,1.31455,0.0011882,0.0011882,0.0011882
43,1231.16,1.16146,0.72919,1.14685,0.82686,0.80741,0.86596,0.50683,1.49002,0.89772,1.30482,0.0011684,0.0011684,0.0011684
44,1259.7,1.15225,0.72308,1.13875,0.79542,0.74153,0.82429,0.48834,1.47175,0.99743,1.29685,0.0011486,0.0011486,0.0011486
45,1288.17,1.15923,0.72766,1.14336,0.81434,0.78229,0.83499,0.48276,1.50225,0.94088,1.29256,0.0011288,0.0011288,0.0011288
46,1317.55,1.14399,0.72149,1.1319,0.82697,0.76372,0.83233,0.48165,1.52031,0.9738,1.30007,0.001109,0.001109,0.001109
47,1346.02,1.13827,0.7127,1.13363,0.83358,0.75258,0.84577,0.48866,1.51192,0.96955,1.31241,0.0010892,0.0010892,0.0010892
48,1374.55,1.13573,0.70949,1.12879,0.82645,0.74133,0.82456,0.46417,1.52205,1.04067,1.29639,0.0010694,0.0010694,0.0010694
49,1403.15,1.12183,0.69837,1.12689,0.81455,0.81053,0.85722,0.50326,1.46696,0.89737,1.28552,0.0010496,0.0010496,0.0010496
50,1431.75,1.1218,0.69026,1.12145,0.81688,0.80019,0.86092,0.50097,1.50178,0.9185,1.31619,0.0010298,0.0010298,0.0010298
51,1460.16,1.11387,0.69188,1.12209,0.83218,0.78041,0.83963,0.48972,1.49259,0.96735,1.29056,0.00101,0.00101,0.00101
52,1488.6,1.10589,0.67671,1.11468,0.83443,0.79493,0.86373,0.49735,1.52158,0.89081,1.3064,0.0009902,0.0009902,0.0009902
53,1516.97,1.10495,0.67968,1.11553,0.86607,0.79691,0.88008,0.51521,1.48697,0.88087,1.30686,0.0009704,0.0009704,0.0009704
54,1545.38,1.09319,0.66701,1.10942,0.8342,0.81134,0.87431,0.51711,1.46505,0.88984,1.28963,0.0009506,0.0009506,0.0009506
55,1573.86,1.09222,0.67144,1.11312,0.81768,0.79794,0.85772,0.48737,1.50484,0.92068,1.29771,0.0009308,0.0009308,0.0009308
56,1602.26,1.08579,0.66035,1.10064,0.84631,0.8118,0.8787,0.51913,1.45865,0.87139,1.29185,0.000911,0.000911,0.000911
57,1630.77,1.10445,0.67079,1.11435,0.84542,0.81031,0.86824,0.51303,1.43992,0.89195,1.27951,0.0008912,0.0008912,0.0008912
58,1659.55,1.07954,0.66786,1.10221,0.83944,0.81924,0.86865,0.51342,1.46173,0.8728,1.29839,0.0008714,0.0008714,0.0008714
59,1688.11,1.08252,0.66392,1.10313,0.85782,0.79691,0.86564,0.51741,1.44851,0.9244,1.28467,0.0008516,0.0008516,0.0008516
60,1716.53,1.07189,0.65393,1.09721,0.83185,0.81093,0.86096,0.50748,1.4711,0.88678,1.31245,0.0008318,0.0008318,0.0008318
61,1745.05,1.0715,0.64486,1.08879,0.83484,0.80774,0.85704,0.50735,1.46188,0.9141,1.30151,0.000812,0.000812,0.000812
62,1773.56,1.06706,0.64191,1.09092,0.80585,0.82577,0.86977,0.51265,1.48455,0.88415,1.31907,0.0007922,0.0007922,0.0007922
63,1801.96,1.06466,0.64141,1.08708,0.85511,0.81753,0.87498,0.51463,1.4806,0.85061,1.29584,0.0007724,0.0007724,0.0007724
64,1830.25,1.05437,0.63425,1.08368,0.85339,0.79212,0.8619,0.49991,1.50741,0.91144,1.31279,0.0007526,0.0007526,0.0007526
65,1858.62,1.05661,0.631,1.08396,0.81005,0.82652,0.86142,0.50253,1.48392,0.86503,1.30654,0.0007328,0.0007328,0.0007328
66,1886.88,1.04828,0.62326,1.08185,0.85377,0.7701,0.84357,0.4918,1.50246,0.9517,1.29664,0.000713,0.000713,0.000713
67,1915.14,1.03661,0.61864,1.07449,0.86008,0.78763,0.86819,0.51026,1.4881,0.87082,1.29098,0.0006932,0.0006932,0.0006932
68,1943.43,1.03816,0.61681,1.07649,0.82048,0.81959,0.86808,0.51569,1.46835,0.84757,1.31124,0.0006734,0.0006734,0.0006734
69,1972.13,1.03871,0.61633,1.07989,0.85864,0.77651,0.86968,0.51771,1.46261,0.88068,1.29254,0.0006536,0.0006536,0.0006536
70,2000.83,1.02999,0.61163,1.07198,0.85107,0.81302,0.88427,0.51836,1.48637,0.84161,1.30098,0.0006338,0.0006338,0.0006338
71,2029.43,1.02656,0.60689,1.06706,0.82752,0.78149,0.85053,0.49231,1.53343,0.93259,1.33492,0.000614,0.000614,0.000614
72,2057.93,1.02933,0.61363,1.07732,0.86365,0.78969,0.87171,0.51714,1.47571,0.87168,1.29776,0.0005942,0.0005942,0.0005942
73,2086.58,1.01161,0.59938,1.06565,0.8402,0.82784,0.88053,0.51587,1.51083,0.84084,1.33115,0.0005744,0.0005744,0.0005744
74,2115.22,1.01545,0.5999,1.06636,0.83998,0.80091,0.86546,0.50805,1.50173,0.8838,1.30586,0.0005546,0.0005546,0.0005546
75,2143.68,1.00407,0.59103,1.05679,0.82276,0.82313,0.86815,0.51112,1.49528,0.87784,1.31692,0.0005348,0.0005348,0.0005348
76,2172.13,0.9906,0.59158,1.05817,0.82098,0.78952,0.85497,0.49024,1.54071,0.92097,1.31425,0.000515,0.000515,0.000515
77,2200.71,0.99481,0.58995,1.05841,0.83444,0.82784,0.87685,0.51293,1.49086,0.8649,1.30787,0.0004952,0.0004952,0.0004952
78,2229.28,1.00274,0.5868,1.06036,0.82203,0.82855,0.86868,0.50609,1.48921,0.89003,1.29281,0.0004754,0.0004754,0.0004754
79,2257.74,0.98466,0.58342,1.05515,0.84042,0.8144,0.87067,0.50477,1.50455,0.88317,1.30893,0.0004556,0.0004556,0.0004556
80,2286.45,0.98312,0.58183,1.05034,0.86797,0.81331,0.88344,0.51466,1.51122,0.85607,1.31419,0.0004358,0.0004358,0.0004358
81,2314.72,0.99305,0.57937,1.05643,0.84926,0.80732,0.86714,0.50834,1.4877,0.88525,1.29647,0.000416,0.000416,0.000416
82,2343.73,0.97427,0.56909,1.04814,0.84574,0.80823,0.87743,0.51504,1.4844,0.8531,1.29247,0.0003962,0.0003962,0.0003962
83,2371.84,0.97191,0.56367,1.04489,0.86251,0.80192,0.8796,0.51519,1.4861,0.8624,1.30038,0.0003764,0.0003764,0.0003764
84,2399.99,0.96891,0.56986,1.04547,0.84003,0.82577,0.87827,0.52326,1.4649,0.86135,1.28903,0.0003566,0.0003566,0.0003566
85,2428.12,0.95824,0.56392,1.04062,0.85209,0.82577,0.87968,0.52294,1.46134,0.84665,1.29514,0.0003368,0.0003368,0.0003368
