epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2326.26,1.157,0.98678,1.20921,0.81578,0.74723,0.82239,0.53222,1.2997,0.95354,1.2154,0.005842,0.005842,0.005842
44,2379.74,1.15386,0.97737,1.20433,0.8431,0.74018,0.81536,0.52642,1.29749,0.97852,1.21984,0.005743,0.005743,0.005743
45,2433.3,1.14921,0.98,1.20874,0.82698,0.75057,0.81029,0.52719,1.26599,0.96598,1.20048,0.005644,0.005644,0.005644
46,2486.58,1.14249,0.96711,1.20529,0.83471,0.74871,0.82067,0.54277,1.26415,0.96296,1.18877,0.005545,0.005545,0.005545
47,2539.95,1.13327,0.94853,1.19556,0.84271,0.76871,0.83368,0.5482,1.26998,0.92989,1.19583,0.005446,0.005446,0.005446
48,2593.46,1.13756,0.95254,1.19927,0.80918,0.77889,0.81553,0.52793,1.28279,0.96804,1.18257,0.005347,0.005347,0.005347
49,2646.84,1.12945,0.94704,1.19266,0.82828,0.77903,0.81961,0.53607,1.24454,0.92969,1.17854,0.005248,0.005248,0.005248
50,2700.26,1.1242,0.94841,1.1913,0.81815,0.78293,0.83543,0.54174,1.25056,0.93565,1.18677,0.005149,0.005149,0.005149
51,2753.88,1.12622,0.93724,1.18986,0.83294,0.77374,0.82644,0.53231,1.27395,0.92592,1.19451,0.00505,0.00505,0.00505
52,2807.51,1.11847,0.94371,1.18585,0.83503,0.75292,0.82485,0.53923,1.26265,0.92595,1.18705,0.004951,0.004951,0.004951
53,2861.06,1.10923,0.93034,1.17987,0.8417,0.76251,0.83492,0.54954,1.2345,0.90896,1.1729,0.004852,0.004852,0.004852
54,2914.81,1.10705,0.9328,1.1809,0.82684,0.78562,0.83239,0.54946,1.25757,0.91499,1.17246,0.004753,0.004753,0.004753
55,2968.39,1.10025,0.91756,1.17948,0.82073,0.77798,0.83079,0.5552,1.22966,0.90033,1.16721,0.004654,0.004654,0.004654
56,3022.12,1.09652,0.90674,1.17122,0.79652,0.78896,0.81768,0.53365,1.24504,0.927,1.18023,0.004555,0.004555,0.004555
