epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1190.22,0.92314,1.45099,0.84038,1.08879,0.78708,0.70683,0.74476,0.52314,0.67512,0.61759,0.59332,0.18498,1.16502,1.21606,1.12912,1.18931,0.0014258,0.0014258,0.0014258
31,1229.98,0.92168,1.45536,0.82963,1.08692,0.82397,0.66265,0.75569,0.54071,0.70713,0.58635,0.60709,0.20065,1.09094,1.24621,1.06624,1.10175,0.001406,0.001406,0.001406
32,1270.33,0.92712,1.45417,0.84386,1.0926,0.77929,0.73896,0.74405,0.53028,0.64818,0.64373,0.58998,0.1904,1.11024,1.24363,1.08155,1.13711,0.0013862,0.0013862,0.0013862
33,1310.3,0.92475,1.44442,0.83674,1.09423,0.77804,0.67871,0.75947,0.55588,0.68741,0.61847,0.6331,0.21029,1.04819,1.27772,1.11019,1.10546,0.0013664,0.0013664,0.0013664
34,1349.61,0.90565,1.43764,0.82179,1.07962,0.76187,0.73896,0.73072,0.53382,0.67032,0.61243,0.5618,0.17772,1.09589,1.23782,1.04705,1.13672,0.0013466,0.0013466,0.0013466
35,1388.93,0.92041,1.45188,0.83605,1.08786,0.79251,0.72289,0.74392,0.51766,0.67712,0.61481,0.56612,0.17156,1.1337,1.26859,1.09504,1.17363,0.0013268,0.0013268,0.0013268
36,1428.48,0.91115,1.45741,0.81894,1.07689,0.72472,0.73896,0.73889,0.54427,0.65438,0.66667,0.60595,0.19559,1.04981,1.25317,1.02984,1.08759,0.001307,0.001307,0.001307
37,1467.79,0.89405,1.43387,0.79737,1.07688,0.79618,0.69029,0.73847,0.53093,0.69171,0.65863,0.6355,0.18875,1.08232,1.27353,1.04397,1.08751,0.0012872,0.0012872,0.0012872
38,1507.34,0.89549,1.44095,0.81641,1.07969,0.79619,0.72289,0.77564,0.57015,0.66107,0.67068,0.62229,0.20103,1.02721,1.21816,1.01412,1.07705,0.0012674,0.0012674,0.0012674
39,1546.92,0.90259,1.443,0.8062,1.07336,0.78712,0.68675,0.74009,0.5214,0.70258,0.62651,0.6067,0.20109,1.14119,1.21426,1.07705,1.15273,0.0012476,0.0012476,0.0012476
40,1586.27,0.89549,1.44661,0.79487,1.07228,0.7825,0.71888,0.73889,0.53524,0.66232,0.63855,0.57318,0.1872,1.0541,1.22566,1.01318,1.10459,0.0012278,0.0012278,0.0012278
41,1625.87,0.88801,1.41477,0.81294,1.07857,0.79094,0.71411,0.7637,0.56494,0.70483,0.62334,0.60075,0.20186,0.99495,1.23266,1.04118,1.08173,0.001208,0.001208,0.001208
42,1666.6,0.89352,1.43004,0.79249,1.07437,0.79398,0.73896,0.77198,0.56096,0.69113,0.64257,0.64659,0.20768,1.01094,1.21748,0.97525,1.05671,0.0011882,0.0011882,0.0011882
43,1706.69,0.87059,1.42926,0.78123,1.05896,0.7958,0.71486,0.7479,0.55005,0.74259,0.61446,0.61533,0.20576,1.0145,1.23361,1.04116,1.07073,0.0011684,0.0011684,0.0011684
44,1746.56,0.88449,1.41646,0.77717,1.06559,0.75255,0.72289,0.75536,0.54091,0.67388,0.61044,0.59068,0.19374,1.08198,1.22836,1.03935,1.08576,0.0011486,0.0011486,0.0011486
45,1785.97,0.88967,1.46003,0.78232,1.0715,0.8458,0.72696,0.75505,0.55102,0.75084,0.66564,0.63729,0.20532,1.07914,1.21936,1.00976,1.08175,0.0011288,0.0011288,0.0011288
46,1826.41,0.85414,1.40766,0.75732,1.05335,0.84679,0.71486,0.79413,0.58645,0.68168,0.65863,0.62322,0.2061,0.98039,1.2077,0.93195,1.03192,0.001109,0.001109,0.001109
47,1866.85,0.88046,1.42931,0.77107,1.0661,0.79105,0.74297,0.77109,0.57812,0.71466,0.61359,0.61227,0.20005,1.03087,1.23452,0.98869,1.0696,0.0010892,0.0010892,0.0010892
48,1906.56,0.88087,1.42746,0.76211,1.06611,0.78841,0.72691,0.75964,0.56935,0.67912,0.62651,0.61067,0.20572,1.01983,1.23655,0.96208,1.08456,0.0010694,0.0010694,0.0010694
49,1946.89,0.85033,1.4208,0.73987,1.05211,0.80109,0.71888,0.75964,0.56914,0.73018,0.61949,0.62646,0.2038,1.00743,1.23338,0.97842,1.05246,0.0010496,0.0010496,0.0010496
50,1987.47,0.86488,1.42741,0.75374,1.0622,0.85147,0.66667,0.766,0.57256,0.6425,0.65863,0.61272,0.19497,1.02893,1.23532,0.97767,1.07647,0.0010298,0.0010298,0.0010298
51,2027.48,0.86475,1.44488,0.75755,1.06118,0.75641,0.75502,0.76418,0.57615,0.65111,0.65955,0.60088,0.20173,0.9935,1.24167,0.99865,1.04325,0.00101,0.00101,0.00101
52,2068.72,0.86156,1.41864,0.74861,1.04916,0.82538,0.72134,0.77785,0.59867,0.71695,0.64088,0.63602,0.21618,1.01177,1.24406,0.93412,1.05697,0.0009902,0.0009902,0.0009902
